time_ms,x,y,z,yaw_deg
1.75,0.063242,0.001403,-0.003711,0.0000
7.11,0.063242,0.001403,-0.003711,0.0000
12.48,0.063348,0.001292,-0.003711,0.0000
17.81,0.063499,0.001133,-0.003707,0.0000
23.15,0.063499,0.001133,-0.003707,0.0000
28.67,0.063605,0.000997,-0.003713,0.0000
34.11,0.063721,0.000813,-0.003723,0.0000
39.48,0.063721,0.000813,-0.003723,0.0000
44.79,0.063877,0.000672,-0.003744,0.0000
50.16,0.063877,0.000672,-0.003744,0.0000
55.49,0.064079,0.000540,-0.003807,0.0000
60.90,0.064342,0.000438,-0.003931,0.0000
66.23,0.064342,0.000438,-0.003931,0.0000
71.67,0.064718,0.000342,-0.004124,0.0000
77.02,0.065254,0.000195,-0.004451,0.0000
82.38,0.065254,0.000195,-0.004451,0.0000
87.71,0.065737,0.000124,-0.004880,0.0000
93.24,0.066255,0.000031,-0.005463,0.0000
98.58,0.066255,0.000031,-0.005463,0.0000
104.11,0.066851,-0.000115,-0.006119,0.0000
109.45,0.067587,-0.000190,-0.007029,0.0000
114.79,0.067587,-0.000190,-0.007029,0.0000
120.15,0.068365,-0.000310,-0.007937,0.0000
125.55,0.069163,-0.000373,-0.009088,0.0000
131.01,0.069163,-0.000373,-0.009088,0.0000
136.39,0.070052,-0.000489,-0.010403,0.0000
141.74,0.070052,-0.000489,-0.010403,0.0000
147.06,0.071061,-0.000628,-0.011831,0.0000
152.45,0.072043,-0.000759,-0.013409,0.0000
157.85,0.072043,-0.000759,-0.013409,0.0000
163.21,0.073142,-0.000829,-0.015091,0.0000
168.68,0.074268,-0.000933,-0.016923,0.0000
174.02,0.074268,-0.000933,-0.016923,0.0000
179.40,0.075422,-0.000996,-0.018914,0.0000
184.96,0.076789,-0.001054,-0.021000,0.0000
190.35,0.076789,-0.001054,-0.021000,0.0000
195.68,0.078122,-0.001056,-0.023202,0.0000
201.18,0.079673,-0.001076,-0.025556,0.0000
206.29,0.079673,-0.001076,-0.025556,0.0000
211.62,0.081381,-0.001069,-0.027951,0.0000
217.26,0.083202,-0.001179,-0.030520,0.0000
222.68,0.083202,-0.001179,-0.030520,0.0000
228.07,0.085097,-0.001143,-0.033258,0.0000
233.46,0.085097,-0.001143,-0.033258,0.0000
238.79,0.087229,-0.001125,-0.035939,0.0000
244.21,0.089451,-0.001176,-0.038807,0.0000
249.58,0.089451,-0.001176,-0.038807,0.0000
254.92,0.091837,-0.001108,-0.041788,0.0000
260.89,0.094409,-0.001100,-0.044795,0.0000
266.25,0.094409,-0.001100,-0.044795,0.0000
271.67,0.097160,-0.001111,-0.047951,0.0000
277.01,0.099988,-0.001087,-0.051139,0.0000
282.33,0.099988,-0.001087,-0.051139,0.0000
287.67,0.103075,-0.001077,-0.054338,0.0000
293.00,0.106295,-0.001078,-0.057606,0.0000
298.32,0.106295,-0.001078,-0.057606,0.0000
303.67,0.109700,-0.001020,-0.060879,0.0000
309.54,0.113161,-0.000912,-0.064203,0.0000
314.94,0.113161,-0.000912,-0.064203,0.0000
320.38,0.116841,-0.000906,-0.067490,0.0000
325.74,0.120746,-0.000818,-0.070815,0.0000
330.79,0.120746,-0.000818,-0.070815,0.0000
336.12,0.124710,-0.000701,-0.074165,0.0000
341.45,0.124710,-0.000701,-0.074165,0.0000
346.81,0.128905,-0.000676,-0.077663,0.0000
352.15,0.133248,-0.000718,-0.081040,0.0000
357.55,0.133248,-0.000718,-0.081040,0.0000
363.09,0.137753,-0.000586,-0.084399,0.0000
368.62,0.142373,-0.000522,-0.087688,0.0000
373.98,0.142373,-0.000522,-0.087688,0.0000
379.30,0.147280,-0.000339,-0.091004,0.0000
384.64,0.147280,-0.000339,-0.091004,0.0000
390.03,0.152260,-0.000316,-0.094313,0.0000
395.49,0.157311,-0.000189,-0.097591,0.0000
400.79,0.162607,-0.000179,-0.100778,0.0000
406.24,0.162607,-0.000179,-0.100778,0.0000
412.24,0.167987,0.000007,-0.104024,0.0000
417.64,0.173492,0.000107,-0.107224,0.0000
423.04,0.173492,0.000107,-0.107224,0.0000
428.63,0.179200,0.000180,-0.110258,0.0000
434.07,0.184935,0.000257,-0.113318,0.0000
439.43,0.184935,0.000257,-0.113318,0.0000
444.74,0.190690,0.000252,-0.116219,0.0000
450.11,0.190690,0.000252,-0.116219,0.0000
455.47,0.196739,0.000289,-0.119276,0.0000
460.80,0.202890,0.000464,-0.122052,0.0000
466.13,0.202890,0.000464,-0.122052,0.0000
471.68,0.209079,0.000538,-0.124832,0.0000
477.02,0.215455,0.000668,-0.127596,0.0000
482.35,0.215455,0.000668,-0.127596,0.0000
487.68,0.221805,0.000730,-0.130294,0.0000
492.79,0.228139,0.000716,-0.132879,0.0000
498.13,0.228139,0.000716,-0.132879,0.0000
503.66,0.234692,0.000889,-0.135364,0.0000
509.03,0.241275,0.000993,-0.137709,0.0000
514.40,0.241275,0.000993,-0.137709,0.0000
519.74,0.247866,0.001072,-0.140001,0.0000
525.18,0.247866,0.001072,-0.140001,0.0000
530.53,0.254301,0.001067,-0.142197,0.0000
536.01,0.260872,0.001101,-0.144365,0.0000
541.34,0.260872,0.001101,-0.144365,0.0000
546.70,0.267228,0.001203,-0.146092,0.0000
552.16,0.273615,0.001299,-0.147660,0.0000
557.51,0.273615,0.001299,-0.147660,0.0000
563.04,0.279975,0.001418,-0.149215,0.0000
568.50,0.286210,0.001423,-0.150512,0.0000
573.85,0.286210,0.001423,-0.150512,0.0000
579.18,0.292421,0.001503,-0.151606,0.0000
584.53,0.298640,0.001579,-0.152587,0.0000
589.92,0.298640,0.001579,-0.152587,0.0000
595.67,0.304708,0.001590,-0.153361,0.0000
601.04,0.310609,0.001685,-0.153946,0.0000
606.45,0.310609,0.001685,-0.153946,0.0000
612.03,0.316478,0.001835,-0.154239,0.0000
617.44,0.322223,0.001894,-0.154398,0.0000
622.92,0.322223,0.001894,-0.154398,0.0000
628.25,0.327778,0.002017,-0.154524,0.0000
633.84,0.333310,0.002008,-0.154346,0.0000
639.35,0.333310,0.002008,-0.154346,0.0000
644.71,0.338557,0.001992,-0.153986,0.0000
650.09,0.338557,0.001992,-0.153986,0.0000
655.46,0.343646,0.002061,-0.153572,0.0000
660.94,0.348580,0.002057,-0.152844,0.0000
666.27,0.348580,0.002057,-0.152844,0.0000
671.76,0.353330,0.002145,-0.152255,0.0000
677.12,0.357631,0.002294,-0.151199,0.0000
682.51,0.357631,0.002294,-0.151199,0.0000
688.19,0.361817,0.002412,-0.150299,0.0000
693.53,0.365981,0.002376,-0.149219,0.0000
698.98,0.365981,0.002376,-0.149219,0.0000
704.33,0.369819,0.002458,-0.148116,0.0000
709.96,0.373332,0.002647,-0.146764,0.0000
715.33,0.373332,0.002647,-0.146764,0.0000
720.67,0.376749,0.002654,-0.145623,0.0000
726.03,0.379838,0.002651,-0.144183,0.0000
731.38,0.379838,0.002651,-0.144183,0.0000
736.68,0.382833,0.002786,-0.142754,0.0000
742.16,0.385614,0.002750,-0.141333,0.0000
747.62,0.385614,0.002750,-0.141333,0.0000
753.06,0.388070,0.002884,-0.139831,0.0000
758.47,0.388070,0.002884,-0.139831,0.0000
763.89,0.390327,0.002941,-0.138220,0.0000
769.44,0.392129,0.003193,-0.136509,0.0000
774.74,0.392129,0.003193,-0.136509,0.0000
780.16,0.394064,0.003122,-0.135095,0.0000
785.54,0.395405,0.003345,-0.133290,0.0000
790.88,0.395405,0.003345,-0.133290,0.0000
796.38,0.396761,0.003480,-0.131761,0.0000
801.95,0.397878,0.003471,-0.130214,0.0000
807.45,0.397878,0.003471,-0.130214,0.0000
813.02,0.398696,0.003652,-0.128593,0.0000
818.49,0.399245,0.003801,-0.126867,0.0000
823.79,0.399245,0.003801,-0.126867,0.0000
829.14,0.399746,0.003828,-0.125287,0.0000
834.53,0.400005,0.003896,-0.123646,0.0000
839.87,0.400005,0.003896,-0.123646,0.0000
845.22,0.399834,0.003965,-0.122119,0.0000
850.57,0.399597,0.004178,-0.120462,0.0000
855.91,0.399597,0.004178,-0.120462,0.0000
861.28,0.398929,0.004270,-0.118834,0.0000
866.66,0.398929,0.004270,-0.118834,0.0000
871.99,0.398295,0.004456,-0.117216,0.0000
877.35,0.397299,0.004463,-0.115538,0.0000
882.68,0.397299,0.004463,-0.115538,0.0000
888.11,0.396285,0.004557,-0.114084,0.0000
893.45,0.394840,0.004661,-0.112475,0.0000
898.79,0.394840,0.004661,-0.112475,0.0000
904.28,0.393479,0.004704,-0.111061,0.0000
909.62,0.391751,0.004975,-0.109501,0.0000
914.98,0.391751,0.004975,-0.109501,0.0000
920.60,0.389883,0.005035,-0.108235,0.0000
925.93,0.387587,0.005302,-0.106634,0.0000
931.27,0.387587,0.005302,-0.106634,0.0000
936.60,0.385542,0.005316,-0.105157,0.0000
942.11,0.383189,0.005273,-0.103850,0.0000
947.55,0.383189,0.005273,-0.103850,0.0000
952.85,0.380492,0.005455,-0.102449,0.0000
958.19,0.380492,0.005455,-0.102449,0.0000
963.54,0.377605,0.005598,-0.100886,0.0000
968.86,0.374765,0.005590,-0.099588,0.0000
974.19,0.374765,0.005590,-0.099588,0.0000
979.53,0.371598,0.005713,-0.098304,0.0000
985.06,0.368369,0.005838,-0.096957,0.0000
990.40,0.368369,0.005838,-0.096957,0.0000
995.74,0.364957,0.005962,-0.095512,0.0000
1001.08,0.361523,0.006145,-0.094158,0.0000
1006.71,0.361523,0.006145,-0.094158,0.0000
1012.17,0.357930,0.006205,-0.092773,0.0000
1017.50,0.354125,0.006388,-0.091319,0.0000
1022.81,0.354125,0.006388,-0.091319,0.0000
1028.19,0.350630,0.006620,-0.089769,0.0000
1033.83,0.346878,0.006930,-0.088158,0.0000
1039.30,0.346878,0.006930,-0.088158,0.0000
1044.68,0.343295,0.007128,-0.086443,0.0000
1050.03,0.343295,0.007128,-0.086443,0.0000
1055.36,0.339540,0.007591,-0.084623,0.0000
1060.74,0.335778,0.007989,-0.082714,0.0000
1066.13,0.335778,0.007989,-0.082714,0.0000
1071.58,0.332077,0.008459,-0.080554,0.0000
1076.91,0.328159,0.008938,-0.078342,0.0000
1082.27,0.328159,0.008938,-0.078342,0.0000
1087.64,0.324385,0.009399,-0.075928,0.0000
1093.00,0.320384,0.010016,-0.073357,0.0000
1098.39,0.320384,0.010016,-0.073357,0.0000
1103.82,0.316830,0.010549,-0.070839,0.0000
1109.55,0.313116,0.011267,-0.068084,0.0000
1114.93,0.313116,0.011267,-0.068084,0.0000
1120.40,0.309698,0.011921,-0.065163,0.0000
1125.79,0.306107,0.012795,-0.062218,0.0000
1131.14,0.306107,0.012795,-0.062218,0.0000
1136.50,0.303010,0.013610,-0.059102,0.0000
1142.09,0.299643,0.014714,-0.055842,0.0000
1147.53,0.299643,0.014714,-0.055842,0.0000
1153.01,0.296558,0.015727,-0.052499,0.0000
1158.42,0.296558,0.015727,-0.052499,0.0000
1163.74,0.293498,0.016996,-0.049043,0.0000
1169.16,0.290872,0.018220,-0.045521,0.0000
1174.60,0.290872,0.018220,-0.045521,0.0000
1179.93,0.288234,0.019578,-0.041959,0.0000
1185.37,0.285961,0.020968,-0.038398,0.0000
1190.68,0.285961,0.020968,-0.038398,0.0000
1196.01,0.283740,0.022559,-0.034752,0.0000
1201.55,0.281748,0.024175,-0.030985,0.0000
1206.85,0.281748,0.024175,-0.030985,0.0000
1212.39,0.279942,0.025862,-0.027239,0.0000
1217.74,0.278340,0.027629,-0.023437,0.0000
1223.09,0.278340,0.027629,-0.023437,0.0000
1228.89,0.276900,0.029523,-0.019520,0.0000
1234.24,0.275785,0.031453,-0.015645,0.0000
1239.58,0.275785,0.031453,-0.015645,0.0000
1244.95,0.274796,0.033657,-0.011896,0.0000
1250.47,0.273950,0.035561,-0.008139,0.0000
1255.97,0.273950,0.035561,-0.008139,0.0000
1261.36,0.273522,0.037970,-0.004357,0.0000
1266.68,0.273522,0.037970,-0.004357,0.0000
1272.09,0.273198,0.040018,-0.000639,0.0000
1277.44,0.273092,0.042516,0.003052,0.0000
1282.73,0.273092,0.042516,0.003052,0.0000
1288.10,0.273254,0.044894,0.006691,0.0000
1293.45,0.273254,0.044894,0.006691,0.0000
1298.76,0.273570,0.047334,0.010398,0.0000
1304.11,0.274154,0.049863,0.014098,0.0000
1309.48,0.274976,0.052496,0.017677,0.0000
1315.18,0.274976,0.052496,0.017677,0.0000
1320.52,0.275966,0.055202,0.021180,0.0000
1325.90,0.277134,0.057926,0.024744,0.0000
1331.26,0.277134,0.057926,0.024744,0.0000
1336.64,0.278525,0.060732,0.028234,0.0000
1342.13,0.280090,0.063608,0.031719,0.0000
1347.58,0.280090,0.063608,0.031719,0.0000
1353.00,0.281889,0.066473,0.035163,0.0000
1358.39,0.281889,0.066473,0.035163,0.0000
1363.68,0.283756,0.069525,0.038538,0.0000
1369.13,0.285893,0.072450,0.041726,0.0000
1374.65,0.285893,0.072450,0.041726,0.0000
1380.01,0.288266,0.075457,0.044960,0.0000
1385.62,0.290752,0.078667,0.048190,0.0000
1390.99,0.290752,0.078667,0.048190,0.0000
1396.47,0.293458,0.081806,0.051383,0.0000
1401.84,0.296353,0.084893,0.054529,0.0000
1407.22,0.296353,0.084893,0.054529,0.0000
1412.64,0.299453,0.088160,0.057593,0.0000
1418.58,0.302665,0.091325,0.060687,0.0000
1423.91,0.302665,0.091325,0.060687,0.0000
1429.23,0.306095,0.094511,0.063686,0.0000
1434.60,0.309667,0.097726,0.066684,0.0000
1439.98,0.309667,0.097726,0.066684,0.0000
1445.51,0.313331,0.101029,0.069745,0.0000
1450.86,0.317061,0.104298,0.072628,0.0000
1456.21,0.317061,0.104298,0.072628,0.0000
1461.54,0.321045,0.107647,0.075531,0.0000
1466.85,0.321045,0.107647,0.075531,0.0000
1472.22,0.325120,0.110886,0.078347,0.0000
1477.76,0.329377,0.114135,0.081161,0.0000
1483.10,0.329377,0.114135,0.081161,0.0000
1488.46,0.333689,0.117307,0.084001,0.0000
1493.92,0.337987,0.120542,0.086697,0.0000
1499.30,0.337987,0.120542,0.086697,0.0000
1505.14,0.342153,0.123769,0.089304,0.0000
1510.63,0.346306,0.126857,0.091748,0.0000
1516.02,0.346306,0.126857,0.091748,0.0000
1521.09,0.350555,0.129874,0.094092,0.0000
1526.49,0.354780,0.132892,0.096386,0.0000
1531.98,0.354780,0.132892,0.096386,0.0000
1537.39,0.358929,0.135749,0.098423,0.0000
1542.74,0.363133,0.138698,0.100321,0.0000
1548.10,0.363133,0.138698,0.100321,0.0000
1553.44,0.367300,0.141494,0.102173,0.0000
1558.85,0.371483,0.144359,0.103628,0.0000
1564.25,0.371483,0.144359,0.103628,0.0000
1569.81,0.375740,0.147180,0.105141,0.0000
1575.13,0.375740,0.147180,0.105141,0.0000
1580.48,0.379864,0.149929,0.106329,0.0000
1585.82,0.384062,0.152513,0.107590,0.0000
1591.27,0.384062,0.152513,0.107590,0.0000
1596.67,0.388269,0.155093,0.108509,0.0000
1602.04,0.392325,0.157624,0.109293,0.0000
1607.38,0.392325,0.157624,0.109293,0.0000
1612.74,0.396405,0.160091,0.109977,0.0000
1618.07,0.400397,0.162402,0.110495,0.0000
1623.85,0.400397,0.162402,0.110495,0.0000
1629.17,0.404213,0.164632,0.110814,0.0000
1634.50,0.407904,0.166805,0.110952,0.0000
1639.81,0.407904,0.166805,0.110952,0.0000
1645.14,0.411581,0.168854,0.110965,0.0000
1650.52,0.415084,0.170836,0.110834,0.0000
1655.85,0.415084,0.170836,0.110834,0.0000
1661.20,0.418444,0.172642,0.110488,0.0000
1666.55,0.418444,0.172642,0.110488,0.0000
1672.03,0.421676,0.174506,0.110079,0.0000
1677.39,0.424845,0.176139,0.109577,0.0000
1682.74,0.424845,0.176139,0.109577,0.0000
1688.06,0.427833,0.177591,0.108883,0.0000
1693.43,0.430650,0.179029,0.108135,0.0000
1698.73,0.430650,0.179029,0.108135,0.0000
1704.07,0.433325,0.180299,0.107140,0.0000
1709.39,0.435742,0.181473,0.106050,0.0000
1714.68,0.435742,0.181473,0.106050,0.0000
1720.03,0.438062,0.182525,0.104872,0.0000
1725.51,0.440078,0.183528,0.103573,0.0000
1731.06,0.440078,0.183528,0.103573,0.0000
1736.51,0.442006,0.184361,0.102197,0.0000
1741.87,0.442006,0.184361,0.102197,0.0000
1747.20,0.443775,0.185162,0.100812,0.0000
1752.65,0.445403,0.185769,0.099260,0.0000
1758.10,0.445403,0.185769,0.099260,0.0000
1763.47,0.446787,0.186163,0.097649,0.0000
1768.83,0.446787,0.186163,0.097649,0.0000
1774.21,0.447973,0.186412,0.095915,0.0000
1779.68,0.449057,0.186662,0.094200,0.0000
1785.11,0.449938,0.186690,0.092375,0.0000
1790.45,0.449938,0.186690,0.092375,0.0000
1795.73,0.450487,0.186654,0.090520,0.0000
1801.17,0.450889,0.186465,0.088593,0.0000
1806.54,0.450889,0.186465,0.088593,0.0000
1812.08,0.451094,0.186080,0.086550,0.0000
1817.40,0.450933,0.185680,0.084628,0.0000
1822.93,0.450933,0.185680,0.084628,0.0000
1828.68,0.450721,0.185116,0.082580,0.0000
1834.14,0.450239,0.184476,0.080452,0.0000
1839.48,0.450239,0.184476,0.080452,0.0000
1844.81,0.449487,0.183624,0.078362,0.0000
1850.13,0.449487,0.183624,0.078362,0.0000
1855.46,0.448587,0.182749,0.076194,0.0000
1860.98,0.447420,0.181796,0.074066,0.0000
1866.39,0.447420,0.181796,0.074066,0.0000
1871.73,0.446096,0.180645,0.072038,0.0000
1877.10,0.444515,0.179417,0.069930,0.0000
1882.47,0.444515,0.179417,0.069930,0.0000
1887.85,0.442790,0.178075,0.067813,0.0000
1893.31,0.440754,0.176565,0.065731,0.0000
1898.66,0.440754,0.176565,0.065731,0.0000
1904.01,0.438518,0.175000,0.063590,0.0000
1909.39,0.436118,0.173363,0.061544,0.0000
1914.73,0.436118,0.173363,0.061544,0.0000
1920.15,0.433509,0.171648,0.059571,0.0000
1925.48,0.430644,0.169855,0.057570,0.0000
1931.11,0.430644,0.169855,0.057570,0.0000
1936.50,0.427532,0.167958,0.055613,0.0000
1941.80,0.427532,0.167958,0.055613,0.0000
1947.19,0.424212,0.166021,0.053655,0.0000
1952.53,0.420749,0.164029,0.051725,0.0000
1957.91,0.420749,0.164029,0.051725,0.0000
1963.27,0.417136,0.161933,0.049967,0.0000
1968.61,0.417136,0.161933,0.049967,0.0000
1973.96,0.413354,0.159813,0.048124,0.0000
1979.28,0.409396,0.157718,0.046458,0.0000
1984.65,0.405394,0.155732,0.044689,0.0000
1990.05,0.405394,0.155732,0.044689,0.0000
1995.55,0.401318,0.153724,0.042905,0.0000
2000.94,0.397236,0.151725,0.041125,0.0000
2006.28,0.397236,0.151725,0.041125,0.0000
2011.68,0.393075,0.149855,0.039232,0.0000
2017.00,0.393075,0.149855,0.039232,0.0000
2022.34,0.388748,0.148065,0.037181,0.0000
2027.90,0.384524,0.146137,0.035187,0.0000
2033.52,0.384524,0.146137,0.035187,0.0000
2038.85,0.380176,0.144262,0.033023,0.0000
2044.38,0.375839,0.142516,0.030778,0.0000
2049.75,0.375839,0.142516,0.030778,0.0000
2055.10,0.371452,0.140756,0.028469,0.0000
2060.46,0.371452,0.140756,0.028469,0.0000
2065.81,0.367032,0.138962,0.026175,0.0000
2071.23,0.362518,0.137322,0.023823,0.0000
2076.56,0.358151,0.135674,0.021269,0.0000
2081.85,0.358151,0.135674,0.021269,0.0000
2087.23,0.353640,0.134234,0.018696,0.0000
2092.57,0.349332,0.132814,0.016035,0.0000
2097.94,0.349332,0.132814,0.016035,0.0000
2103.35,0.344907,0.131585,0.013259,0.0000
2108.68,0.344907,0.131585,0.013259,0.0000
2114.01,0.340631,0.130347,0.010407,0.0000
2119.71,0.336433,0.129299,0.007542,0.0000
2125.05,0.336433,0.129299,0.007542,0.0000
2130.41,0.332287,0.128463,0.004562,0.0000
2136.04,0.328303,0.127613,0.001496,0.0000
2141.38,0.328303,0.127613,0.001496,0.0000
2146.68,0.324389,0.126943,-0.001565,0.0000
2152.03,0.320521,0.126524,-0.004704,0.0000
2157.41,0.320521,0.126524,-0.004704,0.0000
2162.74,0.316884,0.126323,-0.008050,0.0000
2168.08,0.316884,0.126323,-0.008050,0.0000
2173.43,0.313265,0.126367,-0.011421,0.0000
2178.87,0.309763,0.126481,-0.014859,0.0000
2184.23,0.306439,0.126705,-0.018214,0.0000
2189.59,0.306439,0.126705,-0.018214,0.0000
2194.96,0.303372,0.127117,-0.021685,0.0000
2200.56,0.300319,0.127705,-0.025318,0.0000
2206.03,0.300319,0.127705,-0.025318,0.0000
2211.38,0.297527,0.128585,-0.028948,0.0000
2216.74,0.297527,0.128585,-0.028948,0.0000
2222.14,0.294923,0.129461,-0.032616,0.0000
2227.56,0.292354,0.130645,-0.036350,0.0000
2232.85,0.292354,0.130645,-0.036350,0.0000
2238.39,0.290102,0.131976,-0.040126,0.0000
2243.78,0.288040,0.133433,-0.043872,0.0000
2249.22,0.288040,0.133433,-0.043872,0.0000
2254.77,0.286146,0.135077,-0.047638,0.0000
2260.09,0.286146,0.135077,-0.047638,0.0000
2265.59,0.284312,0.136985,-0.051594,0.0000
2270.95,0.282796,0.138962,-0.055431,0.0000
2276.47,0.281380,0.141300,-0.059443,0.0000
2281.94,0.281380,0.141300,-0.059443,0.0000
2287.31,0.280204,0.143662,-0.063449,0.0000
2292.68,0.279294,0.146285,-0.067290,0.0000
2298.02,0.279294,0.146285,-0.067290,0.0000
2303.39,0.278554,0.149063,-0.071124,0.0000
2308.85,0.277977,0.151940,-0.075058,0.0000
2314.24,0.277977,0.151940,-0.075058,0.0000
2319.63,0.277575,0.155052,-0.078922,0.0000
2324.97,0.277575,0.155052,-0.078922,0.0000
2330.33,0.277442,0.158327,-0.082736,0.0000
2335.68,0.277442,0.158327,-0.082736,0.0000
2341.12,0.277380,0.161725,-0.086677,0.0000
2346.57,0.277589,0.165279,-0.090475,0.0000
2351.86,0.277991,0.168947,-0.094173,0.0000
2357.22,0.277991,0.168947,-0.094173,0.0000
2362.55,0.278512,0.172859,-0.097883,0.0000
2367.85,0.278512,0.172859,-0.097883,0.0000
2373.34,0.279256,0.176866,-0.101507,0.0000
2378.84,0.280061,0.181009,-0.105127,0.0000
2384.24,0.281083,0.185226,-0.108617,0.0000
2389.57,0.281083,0.185226,-0.108617,0.0000
2394.85,0.282287,0.189647,-0.112110,0.0000
2400.25,0.282287,0.189647,-0.112110,0.0000
2405.62,0.283651,0.194191,-0.115479,0.0000
2410.98,0.285266,0.198748,-0.118763,0.0000
2416.31,0.285266,0.198748,-0.118763,0.0000
2421.66,0.286881,0.203436,-0.122014,0.0000
2427.00,0.288702,0.208147,-0.125130,0.0000
2432.34,0.288702,0.208147,-0.125130,0.0000
2437.66,0.290594,0.213067,-0.128281,0.0000
2443.68,0.292658,0.217974,-0.131265,0.0000
2449.01,0.292658,0.217974,-0.131265,0.0000
2454.34,0.294873,0.222998,-0.134174,0.0000
2459.76,0.294873,0.222998,-0.134174,0.0000
2465.12,0.297082,0.228063,-0.136984,0.0000
2470.60,0.299509,0.232993,-0.139817,0.0000
2476.14,0.302011,0.238153,-0.142420,0.0000
2481.60,0.302011,0.238153,-0.142420,0.0000
2486.96,0.304265,0.243043,-0.144738,0.0000
2492.36,0.306809,0.248006,-0.146964,0.0000
2497.68,0.306809,0.248006,-0.146964,0.0000
2503.02,0.309145,0.252955,-0.148992,0.0000
2508.35,0.309145,0.252955,-0.148992,0.0000
2513.68,0.311519,0.257742,-0.150911,0.0000
2519.01,0.313882,0.262448,-0.152590,0.0000
2524.35,0.313882,0.262448,-0.152590,0.0000
2529.79,0.316244,0.267219,-0.154187,0.0000
2535.34,0.318787,0.272071,-0.155505,0.0000
2540.68,0.318787,0.272071,-0.155505,0.0000
2546.58,0.321018,0.276702,-0.156592,0.0000
2551.93,0.323438,0.281408,-0.157436,0.0000
2557.26,0.323438,0.281408,-0.157436,0.0000
2562.63,0.325675,0.285798,-0.158131,0.0000
2567.96,0.325675,0.285798,-0.158131,0.0000
2573.31,0.327887,0.290173,-0.158601,0.0000
2578.68,0.329879,0.294380,-0.158928,0.0000
2584.09,0.331882,0.298348,-0.159108,0.0000
2589.49,0.331882,0.298348,-0.159108,0.0000
2594.81,0.333650,0.302317,-0.159107,0.0000
2600.15,0.333650,0.302317,-0.159107,0.0000
2605.50,0.335449,0.306019,-0.158901,0.0000
2611.05,0.336952,0.309547,-0.158587,0.0000
2616.38,0.336952,0.309547,-0.158587,0.0000
2621.68,0.338318,0.312782,-0.158192,0.0000
2627.04,0.339480,0.315905,-0.157591,0.0000
2632.38,0.339480,0.315905,-0.157591,0.0000
2637.80,0.340438,0.318874,-0.156867,0.0000
2643.32,0.341278,0.321622,-0.156091,0.0000
2649.11,0.341278,0.321622,-0.156091,0.0000
2654.44,0.341833,0.324158,-0.155108,0.0000
2659.79,0.342183,0.326369,-0.153996,0.0000
2665.22,0.342183,0.326369,-0.153996,0.0000
2670.85,0.342454,0.328552,-0.152940,0.0000
2676.19,0.342456,0.330364,-0.151757,0.0000
2681.56,0.342456,0.330364,-0.151757,0.0000
2686.87,0.342312,0.332052,-0.150565,0.0000
2692.45,0.341910,0.333428,-0.149166,0.0000
2698.04,0.341910,0.333428,-0.149166,0.0000
2703.40,0.341304,0.334626,-0.147776,0.0000
2708.92,0.340503,0.335559,-0.146340,0.0000
2714.34,0.340503,0.335559,-0.146340,0.0000
2719.68,0.339570,0.336274,-0.144895,0.0000
2725.00,0.339570,0.336274,-0.144895,0.0000
2730.37,0.338395,0.336807,-0.143321,0.0000
2735.68,0.336977,0.337196,-0.141741,0.0000
2741.00,0.336977,0.337196,-0.141741,0.0000
2746.49,0.335434,0.337240,-0.140152,0.0000
2752.34,0.333715,0.337190,-0.138488,0.0000
2758.00,0.333715,0.337190,-0.138488,0.0000
2763.43,0.331743,0.336906,-0.136900,0.0000
2768.74,0.329593,0.336447,-0.135221,0.0000
2774.07,0.329593,0.336447,-0.135221,0.0000
2779.43,0.327310,0.335631,-0.133518,0.0000
2784.86,0.324828,0.334829,-0.131789,0.0000
2790.22,0.324828,0.334829,-0.131789,0.0000
2795.64,0.322113,0.333692,-0.130033,0.0000
2800.98,0.319312,0.332349,-0.128349,0.0000
2806.32,0.319312,0.332349,-0.128349,0.0000
2811.67,0.316315,0.330741,-0.126528,0.0000
2817.06,0.316315,0.330741,-0.126528,0.0000
2822.38,0.313206,0.329074,-0.124749,0.0000
2827.75,0.309943,0.327221,-0.122888,0.0000
2832.85,0.309943,0.327221,-0.122888,0.0000
2838.18,0.306557,0.325254,-0.121059,0.0000
2843.60,0.303044,0.323058,-0.119280,0.0000
2848.97,0.303044,0.323058,-0.119280,0.0000
2854.41,0.299365,0.320656,-0.117431,0.0000
2859.82,0.299365,0.320656,-0.117431,0.0000
2865.15,0.295630,0.318080,-0.115521,0.0000
2870.55,0.291694,0.315404,-0.113657,0.0000
2875.85,0.287701,0.312588,-0.111726,0.0000
2881.23,0.287701,0.312588,-0.111726,0.0000
2886.56,0.283596,0.309611,-0.109766,0.0000
2891.93,0.283596,0.309611,-0.109766,0.0000
2897.25,0.279370,0.306535,-0.107809,0.0000
2902.68,0.275160,0.303319,-0.105855,0.0000
2908.07,0.275160,0.303319,-0.105855,0.0000
2913.44,0.270880,0.300070,-0.103894,0.0000
2918.80,0.266447,0.296490,-0.101882,0.0000
2924.14,0.266447,0.296490,-0.101882,0.0000
2929.47,0.261991,0.293048,-0.099803,0.0000
2935.41,0.257507,0.289368,-0.097720,0.0000
2940.74,0.257507,0.289368,-0.097720,0.0000
2946.06,0.252955,0.285639,-0.095611,0.0000
2951.43,0.252955,0.285639,-0.095611,0.0000
2956.84,0.248452,0.282011,-0.093364,0.0000
